k,precision,recall,ndcg,map
5,0.13333333333333336,0.03750478377344049,0.14561468804999805,0.12555555555555553
10,0.09444444444444446,0.05013343943692203,0.11520294335203173,0.07687830687830689
20,0.08888888888888889,0.07389679603609951,0.12257890146654282,0.07198544551614727
